index_prop	experiment	text	question	response_true	response_distractors
133	local_coherence	Folosește aceleași forme de acorduri ca și Open E, dar este mai ușor pentru gâtul chitarei, deoarece corzile sunt dezacordate, reducând tensiunea.	Open E este mai ușor pentru gâtul chitarei?	Nu	Da
134	local_coherence	Stăpânii războiului din numeroasele provincii ale Chinei se dușmăneau în mod constant, iar guvernul central era slab și descentralizat, neputând face nimic pentru a opri conflictul.	Guvernul central era puternic și centralizat?	Nu	Da
135	local_coherence	Cu toate acestea, Washingtonul a devenit foarte îngrijorat de faptul că partidele comuniste locale ar putea câștiga puterea în Franța, Italia și Grecia la sfârșitul anilor 1940, având în vedere starea precară a economiei europene postbelice și apropierea Uniunii Sovietice.	Washingtonul era îngrijorat de creșterea influenței comuniste în Europa?	Da	Nu
136	local_coherence	Urmăriți câinele pentru a vă asigura că nu scuipă pastila după ce a mâncat recompensa (dacă se întâmplă acest lucru, va trebui să forțați pastila, așa cum este descris mai jos).	Trebuie să forțați pastila dacă câinele o scuipă?	Da	Nu
137	local_coherence	Am discutat deja despre unele dintre acestea, însă cunoașterea seturilor adaugă o nouă definiție pentru fiecare dintre următoarele idei.	Cunoașterea seturilor nu aduce nicio valoare adițională?	Nu	Da
138	local_coherence	O altă carte separată tratează foile de stil în cascadă (CSS), care se ocupă de aspectul general și de stilizare, dar cartea de față abordează pe scurt CSS.	Cartea de față abordează în detaliu CSS?	Nu	Da
139	local_coherence	Recomandăm această licență în principal pentru lucrări al căror scop este de instruire sau de referință.	Licența asta e recomandată pentru lucrări de divertisment?	Nu	Da
140	local_coherence	Pierderea în greutate necesită ca aportul de calorii să fie mai mic decât producția de calorii, deși niciuna dintre acestea nu trebuie să fie făcută la extrem.	Pierderea în greutate necesită un aport de calorii mai mare decât producția?	Nu	Da
141	local_coherence	Când ajung la destinație, cu terasa umbrită încă la vedere, desfășor prosoapele și mă întind confortabil pe scaunul înclinat.	Terasa este în soare?	Nu	Da
142	local_coherence	Atunci când un text nu susține această regulă, chiar și un elev sârguincios este nevoit să repete inutil materialul.	Un text care susține regula este ușor de înțeles?	Da	Nu
143	local_coherence	Cu toate acestea, faptul că scorbutul este cauzat de lipsa vitaminei c a fost descoperit abia în 1932.	Scorbutul a fost cauzat de lipsa vitaminei D?	Nu	Da
144	local_coherence	Puteți extrage un singur document dintr-o astfel de colecție și îl puteți distribui individual în temeiul prezentei licențe, cu condiția să inserați o copie a prezentei licențe în documentul extras și să respectați prezenta licență în toate celelalte privințe în ceea ce privește copierea textuală a documentului respectiv.	Este permis să distribuiți documente fără a respecta licența?	Nu	Da
145	local_coherence	Acordurile dvs. juridice ar trebui să treacă prin mai multe iterații în procesul de redactare, fiecare iterație simplificând termenii și îmbunătățind lizibilitatea și utilizabilitatea acestora.	Acordurile juridice trebuie să fie complexe și greu de înțeles?	Nu	Da
146	local_coherence	În calitate de guvernator, a urmat o politică atât de strictă de a numi în funcții doar colegi republicani, încât a devenit părintele sistemului de sporuri din America.	Guvernatorul a numit în funcții doar democrați?	Nu	Da
147	local_coherence	Ca adjective, terminațiile lor variază în funcție de substantivele pe care le modifică.	Terminațiile adjectivelor sunt întotdeauna aceleași?	Nu	Da
148	local_coherence	Deoarece un singur reflector parabolic atinge o precizie de focalizare mai mare decât orice banc mai mare de oglinzi, focalizarea este folosită pentru a atinge o temperatură mai ridicată, ceea ce permite o conversie foarte eficientă a căldurii în energie mecanică pentru a acționa un generator electric.	Reflectoarele parabolice sunt mai puțin precise decât băncile de oglinzi?	Nu	Da
149	local_coherence	Pe lângă faptul că a fost regină a Regatului Unit al Marii Britanii și Irlandei, a fost și primul monarh care a folosit titlul de Împărăteasă a Indiei.	A fost primul monarh care a folosit titlul de Împărăteasă a Indiei?	Da	Nu
150	local_coherence	La sfârșitul secvenței, o racletă îndepărtează tonerul rămas pe tambur și întregul proces se repetă cu o nouă imagine.	Tonerul rămas este lăsat pe tambur?	Nu	Da
151	local_coherence	Atașarea la fibră este atribuită, cel puțin parțial, formării de săruri între grupele anionice din coloranți și grupele cationice din fibră.	Atașarea la fibră se datorează exclusiv forțelor mecanice?	Nu	Da
152	local_coherence	Din cauza faptului că aparatul său de împerechere este ghimpat, asemănător cu înțepătura unui muncitor, acesta va fi smuls din corpul său după împerechere, iar el va cădea spre pământ cu singurul rezultat posibil: moartea.	Aparatul de împerechere este ghimpat?	Da	Nu
153	local_coherence	Pe lângă vocabularul nou, ar trebui să vă uitați și la modul în care se conjugă verbele în funcție de subiectul propoziției.	Conjugarea verbelor variază în funcție de subiectul propoziției?	Da	Nu
154	local_coherence	Ambele utilizează intensiv funcțiile matematice pentru a descrie și a prezice fenomene fizice care sunt supuse unor schimbări continue, iar acest lucru necesită utilizarea calculului.	Funcțiile matematice sunt folosite în biologie?	Da	Nu
155	local_coherence	Oficialii britanici din domeniul comerțului au considerat că prima prioritate era popularea zonelor recent securizate din Canada și Florida (cu referire la Tratatul de la Paris), unde se putea aștepta în mod rezonabil ca coloniștii să facă comerț cu patria mamă.	Popularea zonelor securizate a fost o prioritate?	Da	Nu
156	local_coherence	Budismul și jainismul au multe teme și practici comune, inclusiv accentul pus pe nonviolență și credința că se ajunge la eliberare prin renunțarea la legăturile lumești care îi leagă pe indivizi de iluzie prin procesul de karma, acumularea de merite bune și rele.	Budismul și jainismul au teme complet diferite?	Nu	Da
157	local_coherence	Până în anii 1960, tot mai multe trimiteri poștale erau francate cu aparate de taxat decât cu timbre adezive tradiționale.	În anii 1960, timbrele adezive erau principalele metode de francare?	Nu	Da
158	local_coherence	Calcularea unor astfel de capacități și fie exploatarea lor, fie luarea măsurilor necesare pentru a le contracara reprezintă o problemă importantă în ingineria circuitelor electrice.	Capacitanțele nu sunt importante în ingineria circuitelor electrice?	Nu	Da
